ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050807	regulation of synapse organization	54/2803	263/28814	9.797120289095e-08	3.88139104286016e-06	2.43815119475769e-06	Sema4d/Amigo1/Drd2/Lrp4/Epha4/Nrcam/Rims3/Nrg2/Ptpro/Mdga1/Kalrn/Marcks/Ntrk1/Tanc2/Pak3/Cbln1/Ptprf/Lrrn3/Magi2/Lzts3/Ghsr/Arhgap44/Ptprs/Dhx36/Tanc1/Disc1/Slitrk2/Ptn/Ntrk3/Ptk2/Gpc4/Chrnb2/Pdlim5/Lrrtm3/Picalm/Bdnf/Myo5b/App/Chrna7/Ephb2/Ntng2/Colq/Ywhaz/Lrtm2/Thbs2/Flrt1/Cdc42/Baiap2/Ube3a/Cyfip1/Rims4/Tlr2/Gsk3b/Nedd4	54
GO:0043279	response to alkaloid	25/2803	81/28814	1.04836634618354e-07	4.08011077355308e-06	2.56297983053819e-06	Drd2/Tmem38b/Slc8a1/Kalrn/Blm/Crhr1/Ncam1/Cnr1/Adcy8/Fadd/Adora2a/Chrnb2/Tgm2/Sdk1/Cacng4/Bdnf/Dlg4/Hdac5/Adra1b/Prkaa2/Pgr/Fancb/Drd1/Irs1/Abat	25
GO:0050803	regulation of synapse structure or activity	55/2803	271/28814	1.12418539990145e-07	4.34801396595422e-06	2.73126704546177e-06	Sema4d/Amigo1/Drd2/Lrp4/Epha4/Nrcam/Rims3/Nrg2/Ptpro/Mdga1/Kalrn/Marcks/Ntrk1/Tanc2/Pak3/Cbln1/Ptprf/Lrrn3/Magi2/Lzts3/Ghsr/Arhgap44/Ptprs/Dhx36/Tanc1/Disc1/Slitrk2/Ptn/Ntrk3/Ptk2/Gpc4/Chrnb2/Pdlim5/Lrrtm3/Picalm/Bdnf/Myo5b/App/Chrna7/Ephb2/Ntng2/Colq/Ywhaz/Lrtm2/Thbs2/Flrt1/Cdc42/Baiap2/Ube3a/Cyfip1/Rims4/Tlr2/Gsk3b/Nedd4/Slc17a8	55
GO:0046879	hormone secretion	69/2803	372/28814	1.22940092960856e-07	4.72560468436574e-06	2.9684560457605e-06	Tacr1/Drd2/Blk/Adora1/Cckar/Clock/Rfx3/Cga/Cacna1e/Myrip/Foxa2/Kalrn/Il6/Crhr1/Hmgcr/Hif1a/Myt1/Stxbp3/Rab8b/Ptprn/Tcirg1/Cnr1/Galr1/Rab11fip2/Gja1/Ghsr/Gnas/Ffar2/Alox5/Aacs/Doc2b/Camk2n1/Nnat/Adcy8/Tcf7l2/Smad4/Pclo/Lyn/Nr1h4/Edn2/Rest/Mcu/Ndufaf2/Aimp1/Chga/Rph3al/Npvf/Mafa/Syt7/Igfbp3/Anxa1/Clcf1/Cftr/Cacna1d/Ywhaz/Cplx3/Sfrp1/Slc16a2/Lrp5/Stxbp4/Ghrh/Nell2/Anxa5/Gck/Rbp4/Cacna1c/Irs1/Abat/Gpr119	69
GO:0016050	vesicle organization	57/2803	287/28814	1.44215219312461e-07	5.5093752801147e-06	3.4607927346794e-06	Nectin2/Pef1/Pik3c3/Bet1/P2rx7/Vamp4/Gosr2/Vps8/Sox30/Cplx2/Coro1c/Rab8b/Ptprn/Hook1/Bloc1s4/Plekhf1/Syt13/Uso1/Tmed9/Myo18a/Pip4k2b/Stx3/Grik5/Vamp1/Rab39/Doc2b/Gbf1/Rfx2/Plekhm1/Sort1/Abca1/Vps41/Stx12/Picalm/Pla2g5/Sec23ip/Zpbp2/Spink2/Stam/Sec16b/Bloc1s3/Rab14/Vapb/Dlg4/Syt7/Arfgap3/Anxa1/Srpx/Cplx3/Lyst/Dnajc13/Exoc8/Klhl12/Rab27a/Acrbp/Vps4a/Eqtn	57
GO:0003151	outflow tract morphogenesis	26/2803	88/28814	1.56135970738367e-07	5.89247690780492e-06	3.70144349131593e-06	Lrp6/Thbs1/Rara/Vangl2/Vegfa/Jun/Hif1a/Nog/Gja5/Ctnnb1/Cited2/Smad4/Robo2/Jag1/Wnt11/Parva/Tgfbr2/Rarb/Eya1/Fzd2/Tbx20/Tbx1/Robo1/Cdc42/Nrp1/Nedd4	26
GO:0035249	synaptic transmission, glutamatergic	31/2803	117/28814	1.65590885514449e-07	6.21165327770164e-06	3.90193868466514e-06	Drd2/Adora1/Ngfr/Cacng2/Kalrn/Prkaca/Ntrk1/Pak1/Grm1/Aph1c/Grm4/Grm7/Plat/Cnr1/Grin2c/Grik5/Disc1/Cacng5/Adora2a/Plppr4/Grik1/Cacng4/Grm3/Cacng3/Adrb2/P2rx1/Drd1/Nps/Ptk2b/Ext1/Slc17a8	31
GO:0044772	mitotic cell cycle phase transition	75/2803	420/28814	1.7565038586845e-07	6.47204114084519e-06	4.06550503822585e-06	Rcc2/Cradd/Fbxl7/Tmod3/Nasp/Brca1/Nbn/Taok1/Lsm11/Blm/Fbxl22/Rps6kb1/Cdc6/Ccna1/Acvr1/Mta3/Ddr2/Kif14/Rps27l/Ccno/Sin3a/Ccnjl/Anapc4/Cdkn1c/Fbxl12/Cacul1/Ppp6c/D1Pas1/Nek6/Adam17/Zw10/E2f6/Cdk5rap3/Ccnb2/Lcmt1/Dcun1d3/Clasp1/Pinx1/Calm1/Neurog1/Ccnd3/Bach1/Prkcq/Id2/Jade1/Anapc5/Cdc23/D7Ertd443e/App/Anp32b/E2f7/Fhl1/Plk3/Skp2/Anxa1/Topbp1/Cdk1/Nacc2/Ak1/Bub1b/Ttk/Esrrb/Dtl/Larp7/Usp44/Eps8/Foxn3/Mrnip/Vps4a/Rdx/Zfp655/Tcf19/Ppp2r5c/Dlg1/Rnaseh2b	75
GO:0051961	negative regulation of nervous system development	39/2803	167/28814	1.82434726267125e-07	6.63442508538193e-06	4.16750883119848e-06	Sema4d/Lrp4/Mbp/Nr2e1/Mdga1/Ldlr/Sema4c/Spg20/Tmem98/Cbln1/Nog/Fstl4/Ptprs/Sema3b/Sema5b/Wnt3/Mycn/Ctnnb1/Ascl2/Ptn/Ntrk3/Sema6a/Ryk/Ptk2/Id2/Rest/Bdnf/Rnf10/Sema3a/Ephb2/Sema7a/Nrp1/Lingo1/Sema6d/Sema5a/Prtg/Tlr2/Gsk3b/Trpc5	39
GO:0031032	actomyosin structure organization	46/2803	213/28814	1.83253752157651e-07	6.63442508538193e-06	4.16750883119848e-06	Arhgef10l/Tacr1/Tmod3/Gpr65/Frmd5/Was/Neb/Akap13/Pak1/Tmod1/Pak2/Csrp2/Prkar1a/Myo18a/Ect2/Racgap1/Dlc1/Frmd6/Ppfia1/Smad4/Coro2b/Pfn2/Clasp1/Myh14/Anln/Cnn3/Prkcq/Synpo/Cav3/Wnt11/4930544G11Rik/Rhpn1/Cdc42bpa/Braf/Ppm1e/Flnc/Ccdc88a/Cdc42/Nrp1/Actg1/Tgfbr1/Ptk2b/Met/Rock2/Mypn/Serpinf2	46
GO:0008217	regulation of blood pressure	47/2803	220/28814	1.90334205256627e-07	6.81155802375297e-06	4.27877741520645e-06	Tacr1/Ece1/Avpr1b/Drd2/Bdkrb2/Adora1/Oprl1/Ptpro/Cpa3/Trhde/Ncald/Ddah1/Nampt/Gja5/Cnr1/Col1a2/Gja1/Adrb1/C3ar1/Gnas/Camk2n1/F2r/Rnpep/Kl/Coro2b/Id2/Edn2/Pdgfb/Atp1a2/Chrna7/Nav2/Adra1b/Arhgef12/Erap1/Postn/Ntsr1/Lrp5/Adrb2/P2rx1/Slc4a5/Cacna1c/Chrm3/Grip2/Gch1/Ext1/Abat/Serpinf2	47
GO:0055017	cardiac muscle tissue growth	30/2803	112/28814	2.00944606810536e-07	7.06939020683169e-06	4.44073838184926e-06	Rgs4/Nr3c1/Vgll4/Akap13/Pak1/Map2k4/Nog/Myocd/Ncam1/Gja1/Adrb1/Prkar1a/Sav1/Trp73/Ctnnb1/Cited2/Yy1/Rgs2/Pdlim5/Fgf1/Cav3/Erbb4/Tgfbr2/Adra1b/Cdk1/Tbx20/Smad1/Tgfbr1/Rbp4/Gsk3b	30
GO:0007389	pattern specification process	84/2803	490/28814	2.06234653827318e-07	7.214737019004e-06	4.5320400569031e-06	Tdrd5/Lhx3/C1qa/Meis3/Ccdc40/Lrp4/Irx1/Rpgrip1l/Rfx3/Lrp6/Prop1/Mdfi/Foxa2/Prkaca/Ets2/Vangl2/Acvr1/Scmh1/Fezf1/Hif1a/Kdm2b/Snai1/Nog/Grsf1/Cfap45/Six3/Gja1/Tctn1/Foxj1/Meox1/Mapk8/Tbr1/Wnt3/Mns1/Tra2b/Ctnnb1/Zbtb16/Lef1/Spry1/Cited2/Tdrd1/Smad4/Yy1/Disp1/Rab23/Neurog1/Gli3/Fgf1/Ccdc39/Ldb1/Pcsk5/Robo2/Wnt11/Tll1/Erbb4/Cluap1/Sema3a/Lfng/Tshz1/Tgfbr2/Eya1/Alx1/Fuz/Foxb1/Grhl3/Tbx20/Sfrp1/Lrp5/Mafb/Tbx1/Robo1/Dnah11/Nrp1/Dync2li1/Lmx1b/Dmrt2/Dmrt3/Otx1/Tgfbr1/Rfx4/Mfng/Ext1/Adgrg1/Wdr19	84
GO:0002064	epithelial cell development	49/2803	235/28814	2.30696717357096e-07	7.89312340100352e-06	4.95817814747814e-06	Clic4/Hydin/Insm1/Clock/Rfx3/Myo1e/Bfsp2/Rilpl1/Onecut1/Vsig1/Map3k1/Akap9/Rara/Ntrk1/Tmod1/Vegfa/Ikbkb/Msn/Col18a1/Hif1a/Pard3/Six3/Cdsn/Gja1/St14/Ptprs/Flnb/Gpat4/Frmd6/Prdm1/Onecut2/Rapgef1/Vezf1/Fem1b/Jag1/Pdgfb/Pde2a/Ppp1r16b/Ccdc88c/Rarb/Palld/Cftr/Pgr/Fndc3a/Slc4a5/Rdx/Met/Rock2/Hpse	49
GO:0042552	myelination	40/2803	175/28814	2.3529886118542e-07	7.96307613370439e-06	5.00211995517745e-06	Kcnj10/Galc/B4galt5/Amigo1/Nfasc/Ngfr/Mbp/Rara/Cmtm8/Tmem98/Kif14/Mal2/Pard3/Rxrg/Cntn2/Jam3/Bcas1/Tnfrsf21/Ctnnb1/Fig4/Tcf7l2/Ptn/Ntrk3/Clu/Fam126a/Ormdl3/Fa2h/Rnf10/Ntf3/S100b/Rarb/Pou3f1/Nab1/Cyfip1/Tlr2/Eif2b2/Cd9/Dlg1/Jam2/Mpdz	40
GO:0070371	ERK1 and ERK2 cascade	65/2803	349/28814	2.41415178661779e-07	8.08110801177292e-06	5.07626336442287e-06	Dusp26/Angpt1/Ece1/Drd2/L1cam/Epha4/Itgav/Chil1/E130311K13Rik/Cav1/Rara/Il6/Ddr2/Vegfa/Hmgcr/Jun/Ccl24/Epor/Lmo3/Cryba1/Ranbp9/Gnai2/Garem1/Cnksr3/Alkal2/Adam17/Dusp4/Csf1r/F2r/Spry1/Sema6a/Itgb3/Nod2/Rapgef1/Smad4/Fgf1/Cysltr2/Dusp9/Pla2g5/Lyn/Dusp15/Fbxw7/Pdgfb/Dnajc27/Erbb4/App/Chrna7/Ackr3/Ephb2/Clcf1/Braf/Nqo2/Ywhaz/Gcnt2/Sema7a/Glipr2/Pycard/Nrp1/Tnip1/Ptk2b/Timp3/Tlr2/Ankrd26/Dlg1/Serpinf2	65
GO:1901653	cellular response to peptide	60/2803	313/28814	2.49376178376313e-07	8.17297611973317e-06	5.13397162795778e-06	Socs2/Epha4/Ngfr/Cav1/Marcks/Rps6kb1/Pak1/Crhr1/Rab8b/Gkap1/Ogt/Ptprf/Rhoq/Bcar1/Nfe2l2/Uso1/Gja1/Ghsr/Fis1/Gnai2/Pip4k2b/Gdf15/Cyp11a1/Ctnnb1/Adcy8/Ptk2/Gpr21/Kank1/Nod2/Kl/Vwa2/Pik3r3/Rap1gds1/Ccnd3/Nck1/Prkcq/Nr1h4/Nfkb1/Car2/App/Grk2/Stat5b/Pkm/Igf1r/Stxbp4/Adrb2/Sgk1/Cacna2d1/Crk/Adipor1/Anxa5/Cacnb1/Gck/Cyfip1/Jak1/Gsk3b/Rock2/Ankrd26/Irs1/Akt3	60
GO:0060249	anatomical structure homeostasis	62/2803	328/28814	2.65208658044399e-07	8.60132455022122e-06	5.40304480972033e-06	Angpt1/Mdm1/Slc8a2/Cd7/Gaa/Rp1l1/Taok1/Bdkrb2/Apbb2/Itgav/Nkiras1/P2rx7/Lrp6/Mbp/Col2a1/Vsig1/Tnfrsf11b/Il6/Vegfa/Hif1a/Tcirg1/Wwtr1/Rpa1/Ctss/Gnas/Trim32/Ush2a/Ctnnb1/Csf1r/Spata7/F2r/Itgb3/Nod2/Plekhm1/Tff1/Pthlh/Ldb1/Cav3/Tmem119/Car2/Erbb4/Slc39a8/Nkiras2/Ercc6/Chrna1/Def8/Gcnt2/Aldoart2/Ocln/Adrb2/Muc4/P2rx1/Esrrb/Nell2/Ptk2b/Rbp4/Tmem64/Aipl1/Ext1/Akt3/Pbld1/Slc28a3	62
GO:0009914	hormone transport	69/2803	380/28814	2.8276946224983e-07	8.98370123178414e-06	5.64324018109758e-06	Tacr1/Drd2/Blk/Adora1/Cckar/Clock/Rfx3/Cga/Cacna1e/Myrip/Foxa2/Kalrn/Il6/Crhr1/Hmgcr/Hif1a/Myt1/Stxbp3/Rab8b/Ptprn/Tcirg1/Cnr1/Galr1/Rab11fip2/Gja1/Ghsr/Gnas/Ffar2/Alox5/Aacs/Doc2b/Camk2n1/Nnat/Adcy8/Tcf7l2/Smad4/Pclo/Lyn/Nr1h4/Edn2/Rest/Mcu/Ndufaf2/Aimp1/Chga/Rph3al/Npvf/Mafa/Syt7/Igfbp3/Anxa1/Clcf1/Cftr/Cacna1d/Ywhaz/Cplx3/Sfrp1/Slc16a2/Lrp5/Stxbp4/Ghrh/Nell2/Anxa5/Gck/Rbp4/Cacna1c/Irs1/Abat/Gpr119	69
GO:0090132	epithelium migration	60/2803	315/28814	3.12925933706852e-07	9.84136257167964e-06	6.1819923958249e-06	Tacr1/Angpt1/Atoh8/Dock5/Itgav/Stard13/Pik3cg/Thbs1/Nr2e1/Anxa3/Coro1c/Vegfa/Bcas3/Jun/Hif1a/Bcar1/Emc10/Nfe2l2/Vash1/Adam17/Enpp2/S100a2/Itgb3/Ptk2/Kank1/Mcc/Pfn2/Clasp1/Fgf1/Pkn2/Anln/Edn2/Fbxw7/Pdgfb/Map2k3/Sema3a/Adtrp/Tgfbr2/Hdac5/Anxa1/Plpp3/Pik3cd/Adam9/Robo1/Map2k5/Glipr2/Nrp1/Adipor1/Tgfbr1/Ptk2b/Sema5a/Ets1/Met/Rhob/Rock2/Adgra2/Fstl1/Kit/Akt3/Ptprm	60
GO:0099565	chemical synaptic transmission, postsynaptic	28/2803	103/28814	3.6317846155163e-07	1.11956053469406e-05	7.03267932843073e-06	Slc8a2/Adora1/Sez6/Ngfr/Rgs4/Cbln1/Adrb1/Grin2c/Grik5/Adora2a/Grik1/Pclo/Bdnf/Igsf9b/App/Chrna7/Tmem108/Dlg4/Grk2/Ntsr1/Adrb2/Chrna3/Baiap2/Ptk2b/Met/Gsk3b/Grip2/Abat	28
GO:0098739	import across plasma membrane	42/2803	191/28814	3.67118454500101e-07	1.12613133801583e-05	7.07395476755185e-06	Atp4a/Kcnj9/Kcnj10/Gfap/Slc8a2/Kcnj6/Slc5a1/Slc8a1/Rgs4/Thbs1/Cacna1e/Arg1/Atp4b/Grm1/Slc6a20b/Adrb1/Slc24a4/Slc19a1/Kcnk9/Arl6ip1/Rgs2/Slc47a1/Kcnj16/Atp1a4/Atp1a2/Slc39a8/Cacna1d/Kcnj3/Slc39a10/Atp1b1/Slc6a20a/Ntsr1/Slc16a2/Adrb2/Kcnj2/P2rx1/Cnga3/Slc9a6/Kcnj15/Cacna1c/Kcnd3/Dlg1	42
GO:0015711	organic anion transport	65/2803	353/28814	3.69207276920291e-07	1.12698711440326e-05	7.07933044910114e-06	Slc25a42/Slc22a6/Slc22a8/Kcnj10/Gfap/Avpr1b/Slco2b1/Drd2/Bdkrb2/Adora1/P2rx7/Slc22a28/Slc13a5/Rgs4/Arg1/Nr3c1/Ces1d/Ces1e/Slc22a30/Slc35b4/Slc16a4/Pak1/Grm1/Slc7a9/Grm7/Slc25a5/Abcb4/Slc6a20b/Slc22a12/Gja1/Slc35c2/Slc19a1/Slc25a13/Arl6ip1/Slc10a4/Adora2a/Rgs2/Slco4a1/Aqp8/Slc47a1/Grik1/Pla2g5/Nr1h4/Htr6/Slc4a8/Bdnf/Pnpla8/Slc39a8/Mgst1/Anxa1/Ces1f/Cftr/Slc25a15/Slco1a4/Slc17a3/Slc38a2/Slc38a1/Slc6a20a/Ntsr1/Slc4a5/Abcg2/Pla2g2c/Slc17a8/Abat/Slc16a7	65
GO:0051090	regulation of DNA-binding transcription factor activity	76/2803	436/28814	3.93541362060268e-07	1.17252730217669e-05	7.36539763996956e-06	Rps6ka5/Clock/Fank1/Tax1bp1/Lrp6/E130311K13Rik/Foxa2/Anxa3/Cav1/Psmd10/Mid2/Ntrk1/Ptma/Il6/Trib2/Hdac4/Ddr2/Vegfa/Ikbkb/Nfam1/Myocd/Ddrgk1/Dap/Foxj1/Commd7/Sav1/Trib1/Trim32/Arid5b/Ctnnb1/Trim31/Irak2/Adcy8/Tcf7l2/Cdk5rap3/Nfkbia/Nod2/Cyld/Nlrc4/Clu/Neurog1/Gli3/Dhx9/Pthlh/Prkcq/Id2/Nr1h4/Foxs1/Bdnf/App/Nlrp3/Trim25/Wwp2/Trim37/Hdac5/Cacna1d/Kat6a/Stk3/Fzd2/Plpp3/Hck/Igf1r/Ntsr1/Lrp5/Smad7/Map2k5/Pycard/Nts/Fzd6/Lpar5/Carf/Tlr2/Med13/Irak3/Carm1/Kit	76
GO:2001233	regulation of apoptotic signaling pathway	72/2803	406/28814	4.02988353834928e-07	1.19495641872862e-05	7.50628933759695e-06	Cradd/Syvn1/Meis3/Brca1/Bdkrb2/Pea15a/Itgav/Ngfr/Thbs1/Higd1a/Col2a1/Cav1/Psmd10/Rps6kb1/Cep63/Selenos/Acvr1/Pak2/Vegfa/Fignl1/Hif1a/Snai1/Nog/Slc25a5/Slc35f6/Serinc3/Plekhf1/Nfe2l2/Fis1/Mapk8/D1Pas1/Gnai2/Trp73/Trim32/Tmem161a/Ctnnb1/Ing2/Fadd/Mnt/Cyld/Adora2a/Becn1/Clu/Nck1/Fem1b/Hmgb2/Apaf1/Fbxw7/Fxn/Bdnf/Unc5b/Ackr3/Mtch2/Maged1/Eya1/Rb1cc1/Srpx/Stk3/Nacc2/Sfrp1/Bmf/Wwox/Map2k5/Ppif/Pycard/Prelid1/Ddias/Nrp1/Tgfbr1/Timp3/Nck2/Gsk3b	72
GO:0009100	glycoprotein metabolic process	62/2803	332/28814	4.11047081375057e-07	1.21307591266468e-05	7.62010952551615e-06	B4galt5/Mgat1/Nccrp1/Man1c1/St3gal3/Chst11/Acan/Col2a1/Atp4b/Vangl2/Ndst4/Galnt10/Alg2/Serp2/Apcs/Hif1a/Hs2st1/Egflam/Glce/Ogt/Fkrp/Prss34/B3gat2/Slc35c2/Phlda1/B3gnt2/Npc1/Gxylt2/Ctnnb1/Tcf7l2/St8sia3/Entpd5/B3gnt9/Ggta1/Galnt18/B3galnt1/Tmem59/Slc39a8/Slc35c1/Alg6/Man1a2/Mamdc2/Galnt7/St6galnac6/Gcnt2/Man2a1/Chpf/Tnip1/B3gat1/St6galnac5/Chst8/Galnt13/B3galnt2/Fktn/Xylt1/Cela1/Galnt3/Hs3st5/Hpse/Asgr2/Soat1/Ext1	62
GO:0098657	import into cell	49/2803	240/28814	4.47741368422732e-07	1.30896032918702e-05	8.22242117647082e-06	Atp4a/Kcnj9/Kcnj10/Gfap/Slc8a2/Kcnj6/Drd2/Slc5a1/Slc8a1/Rgs4/Thbs1/Cacna1e/Arg1/Atp4b/Rps6kb1/Grm1/Slc6a4/Slc6a20b/Adrb1/Slc24a4/Slc19a1/Kcnk9/Arl6ip1/Itgb3/Rgs2/Plppr4/Slc47a1/Kcnj16/Atp1a4/Atp1a2/Slc6a2/Slc39a8/Cacna1d/Kcnj3/Slc39a10/Atp1b1/Slc6a20a/Ntsr1/Slc16a2/Adrb2/Kcnj2/P2rx1/Cnga3/Slc9a6/Slc29a4/Kcnj15/Cacna1c/Kcnd3/Dlg1	49
GO:1902115	regulation of organelle assembly	45/2803	213/28814	4.77967604884584e-07	1.3843275700541e-05	8.69585125949138e-06	Mdm1/Mark4/Gsn/Cep120/Cnot6l/Atg3/Limk2/Ripor2/Map4/Msn/Hnrnpu/Hap1/Cbln1/Sdccag8/Wipi1/Ptprs/Mapk8/Cep135/Pip4k2b/Evi5l/Mns1/Gpsm2/Ntrk3/Cyld/Smad4/Gap43/Becn1/Kif9/Snx18/Cav3/Arhgap35/Stam/D7Ertd443e/Trim37/Fuz/Prkaa2/Hck/Ccdc88a/Fez1/Dync2li1/Tbc1d14/Trappc12/Rdx/Gsk3b/Scfd1	45
GO:0010632	regulation of epithelial cell migration	49/2803	241/28814	5.09600487971645e-07	1.4424010175452e-05	9.06064791053892e-06	Tacr1/Angpt1/Atoh8/Dock5/Stard13/Pik3cg/Thbs1/Nr2e1/Anxa3/Coro1c/Vegfa/Bcas3/Jun/Hif1a/Bcar1/Emc10/Nfe2l2/Vash1/Adam17/Enpp2/Itgb3/Ptk2/Mcc/Pfn2/Clasp1/Fgf1/Fbxw7/Pdgfb/Map2k3/Sema3a/Tgfbr2/Hdac5/Anxa1/Plpp3/Pik3cd/Adam9/Map2k5/Glipr2/Nrp1/Adipor1/Ptk2b/Sema5a/Ets1/Met/Rhob/Rock2/Adgra2/Akt3/Ptprm	49
GO:0060537	muscle tissue development	83/2803	493/28814	5.26646653729429e-07	1.48390439491998e-05	9.32135730058851e-06	Angpt1/Med1/Myog/Slc8a1/Lrp6/Rgs4/Bcl9/Nr3c1/Cav1/Neb/Vgll4/Rps6kb1/Rara/Akap13/Pak1/Ripor2/Acvr1/Map2k4/Hdac4/Zbtb18/Vegfa/Hmgcr/Hnrnpu/Csrp2/Nog/Myocd/Schip1/Ncam1/Mettl8/Gja5/Epor/Speg/Gja1/Adrb1/Prkar1a/Sav1/Mbnl1/Flnb/Trp73/Lemd2/Ctnnb1/Tcf7l2/Phox2b/Lef1/Megf10/Fadd/Cited2/Smad4/Yy1/Rgs2/Zfand5/Pdlim5/Myh14/Fgf1/Id2/Cav3/Bdnf/Erbb4/S100b/Tgfbr2/Rarb/Hdac5/Eya1/Chrna1/Adra1b/Cdk1/Tbx20/Boc/Smad1/Smad7/Tbx1/Adrb2/Cdc42/Myl7/Tgfbr1/Rcan1/Rbp4/Hivep3/Met/Nfatc3/Gsk3b/Dlg1/Mylk	83
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	45/2803	214/28814	5.48874434666256e-07	1.52582192172624e-05	9.58466822941639e-06	Nectin2/Myot/Amigo1/L1cam/Sdk2/Nrcam/Lrrc4/Mbp/Mdga1/Cadm3/Fat3/Milr1/Acvr1/Cbln1/Ptprf/Magi2/Igsf21/Cdh22/Vstm2l/Ptprs/Ceacam9/Slitrk2/Gpc4/Pcdh1/Sdk1/Pcdh17/Robo2/Itgal/Dscam/Cdh12/Igsf9b/Kirrel3/Cdh11/Pcdh12/Tgfbr2/Palld/Ntng2/Scarf2/Robo1/Map2k5/Cdh15/Prtg/Cdhr3/Mypn/Ptprm	45
GO:0055117	regulation of cardiac muscle contraction	22/2803	71/28814	5.56678841581413e-07	1.54063962067887e-05	9.67774772077909e-06	Adora1/Tmem38b/Slc8a1/Cav1/Akap9/Hdac4/Gja5/Atp2a2/Adrb1/Cacna1h/Rgs2/Calm1/Cav3/Atp1a2/Chga/Adra1b/Atp1b1/Smad7/Kcnj2/Ank2/Cacna1c/Dlg1	22
GO:1903034	regulation of response to wounding	39/2803	174/28814	5.64595008843386e-07	1.54198821055604e-05	9.68621908061875e-06	Epha4/Thbs1/Foxa2/Cav1/Ddr2/Hmgcr/Ptprf/Nfe2l2/Inpp5f/Ajap1/Gja1/Ptprs/Adam17/Alox5/F2r/Ptn/Ntrk3/Ptk2/Kank1/Rtn4rl1/Clasp1/Wfdc1/Pdgfb/Adtrp/Ephb2/Anxa1/Braf/Plpp3/Igf1r/Adrb2/Crk/Anxa5/Actg1/Xylt1/Hpse/Cd9/Mylk/Abat/Serpinf2	39
GO:0043547	positive regulation of GTPase activity	51/2803	256/28814	5.78558238787741e-07	1.56638354475272e-05	9.83946185508122e-06	Rcc2/Ralgps2/Sema4d/Gpr65/Tiam2/Sgsm3/Rgs4/Kalrn/Tbc1d16/Garnl3/Ntrk1/Wdr41/Coro1c/Rapgef5/Bcas3/Ccl24/Pip5k1a/Rgl3/Rab11fip2/Foxj1/Adrb1/Arap3/Tbc1d8/Ect2/Gnas/Evi5l/Tbc1d13/Rasgrf1/F2r/Ntrk3/Rapgef1/Sgsm1/Arhgap27/Tbc1d22a/Sipa1l2/Rap1gds1/Snx18/Picalm/Arhgap35/Wnt11/Tbc1d9b/Ntf3/Sos1/Lars/Grhl3/Nedd9/Crk/Tbc1d14/Ptk2b/Dock10/Gsk3b	51
GO:0038179	neurotrophin signaling pathway	16/2803	41/28814	5.91881054289403e-07	1.59551659093511e-05	1.00224652437431e-05	Lmtk2/Ntrk1/Hap1/Ptprf/Magi2/Bcar1/Spry1/Rapgef1/Sort1/Bdnf/Ntf3/Sos1/Tmem108/Slc9a6/Cyfip1/Ddit4	16
GO:0050817	coagulation	39/2803	175/28814	6.5902552177471e-07	1.74627741450686e-05	1.09694908797976e-05	Blk/Serpind1/Papss2/Thbs1/Foxa2/Cav1/Lnpk/Pear1/Il6/Prss56/Stxbp3/Bloc1s4/Nfe2l2/Gnas/Adra2c/F2r/Itgb3/Prkcq/Hps6/Lyn/Hps5/Pdgfb/Bloc1s3/Vwf/Adtrp/Ephb2/Il6ra/F10/Lyst/Adrb2/P2rx1/Anxa5/Fzd6/Rab27a/Hs3st5/Hpse/Cd9/Abat/Serpinf2	39
GO:0045216	cell-cell junction organization	45/2803	216/28814	7.21151004985807e-07	1.88137732664628e-05	1.18181402649203e-05	Epha4/Nfasc/Ptpro/Pard6b/Cav1/Prkaca/Zfp703/Pak2/Vegfa/Ikbkb/Pard3/Snai1/Gja5/Gja1/Cdh22/Jam3/Ect2/Ctnnb1/Csf1r/F2r/Cldn16/Specc1l/Pkn2/Nr1h4/Wnt11/Pkp1/Kirrel/Cdh12/Gjb6/Cdh11/Ephb2/Ocln/Smad7/Ctnnd2/Cdc42/Actg1/Tgfbr1/Rdx/Rock2/Plekha7/Cd9/Numbl/Dlg1/Ext1/Mpdz	45
GO:0019226	transmission of nerve impulse	26/2803	95/28814	8.13694183316797e-07	2.0937494543445e-05	1.3152186103546e-05	Nfasc/Cacng2/P2rx7/Nrcam/Cacna1e/Gpr35/Pak1/Il6/Chrnb4/Grm7/Cacna1i/Ghsr/Jam3/Scn1a/Cacng5/Ntrk3/Cacna1h/Myh14/Cacng4/Chrna7/Cacng3/Chrna1/Kcnc4/P2rx1/Drd1/Dmrt3	26
GO:0006898	receptor-mediated endocytosis	52/2803	266/28814	8.24982159701113e-07	2.114059221588e-05	1.32797648059317e-05	Angpt1/Drd2/Ldlrap1/Itgav/Cacng2/Lrp6/Cav1/Ldlr/Vegfa/Rab21/Hap1/Micall1/Pard3/Cltb/Magi2/Apoc1/Inpp5f/Atxn2/Cntn2/Ldlrad3/Ankrd13a/Cacng5/Itgb3/Aak1/Gsg1l/Sag/Arhgap27/Clu/Picalm/Cacng4/Cav3/Ap2b1/Ntf3/App/Ap2a2/Ackr3/Cacng3/Tmem108/Dlg4/Tgfbr2/Grk2/Fcho2/Ap2a1/Dnajc6/Adrb2/Rspo1/Dnajc13/Sgip1/Unc119/Calcrl/Cd9/Nedd4	52
